tm,year,month,day,stnId,place,plant,amount,avgTa,avgWs,maxWd,avgRhm,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,avgTca,target
2017-04-01,2017,4,1,108,서울,최대,2995.0,9.0,2.1,270.0,60.5,12.6,10.3,1400.0,2.72,15.86,4.8,18509.1
2017-04-02,2017,4,2,108,서울,최대,2995.0,9.0,2.1,250.0,53.1,12.7,11.6,1200.0,2.68,19.44,0.9,20845.2
2017-04-03,2017,4,3,108,서울,최대,2995.0,11.4,2.1,250.0,45.6,12.7,11.7,1200.0,2.73,20.1,0.0,21024.9
2017-04-04,2017,4,4,108,서울,최대,2995.0,14.1,2.0,20.0,35.3,12.7,10.9,1100.0,2.46,18.32,4.0,19587.3
2017-04-05,2017,4,5,108,서울,최대,2995.0,12.0,2.4,50.0,66.0,12.8,0.0,1100.0,0.55,3.29,9.9,0.0
2017-04-06,2017,4,6,108,서울,최대,2995.0,10.4,2.4,230.0,90.0,12.8,0.3,1300.0,0.87,4.66,9.6,539.1
2017-04-07,2017,4,7,108,서울,최대,2995.0,14.5,2.1,250.0,68.1,12.9,9.0,1200.0,2.69,18.39,6.8,16173.0
2017-04-08,2017,4,8,108,서울,최대,2995.0,13.0,2.5,250.0,74.5,12.9,6.9,1200.0,2.5,16.31,8.3,12399.3
2017-04-09,2017,4,9,108,서울,최대,2995.0,14.8,2.8,70.0,59.6,12.9,6.7,1300.0,2.49,16.96,8.0,12039.9
2017-04-10,2017,4,10,108,서울,최대,2995.0,16.5,2.8,70.0,25.8,13.0,11.7,1200.0,2.93,22.11,5.5,21024.9
2017-04-11,2017,4,11,108,서울,최대,2995.0,15.3,3.2,250.0,36.8,13.0,9.0,1200.0,2.77,18.42,5.3,16173.0
2017-04-12,2017,4,12,108,서울,최대,2995.0,11.5,3.7,250.0,21.8,13.1,11.2,1200.0,2.92,21.62,1.9,20126.4
2017-04-13,2017,4,13,108,서울,최대,2995.0,12.7,2.5,200.0,54.0,13.1,9.4,1000.0,2.29,16.62,3.0,16891.8
2017-04-14,2017,4,14,108,서울,최대,2995.0,13.0,3.5,230.0,57.9,13.1,4.6,1000.0,1.84,8.26,6.9,8266.199999999999
2017-04-15,2017,4,15,108,서울,최대,2995.0,16.8,2.2,270.0,59.4,13.2,9.8,1200.0,2.7,20.01,3.3,17610.600000000002
2017-04-16,2017,4,16,108,서울,최대,2995.0,18.7,1.4,50.0,52.9,13.2,6.5,1100.0,2.31,13.075,8.1,11680.5
2017-04-17,2017,4,17,108,서울,최대,2995.0,14.7,2.2,340.0,66.5,13.2,0.7,1500.0,0.94,4.44,8.3,1257.9
2017-04-18,2017,4,18,108,서울,최대,2995.0,11.7,2.5,250.0,76.5,13.3,2.7,1000.0,1.61,6.2,5.3,4851.900000000001
2017-04-19,2017,4,19,108,서울,최대,2995.0,12.6,2.9,270.0,43.1,13.3,12.3,1100.0,2.92,23.08,2.0,22103.1
2017-04-20,2017,4,20,108,서울,최대,2995.0,12.9,2.3,290.0,45.4,13.4,2.6,1200.0,1.88,10.27,7.4,4672.2
2017-04-21,2017,4,21,108,서울,최대,2995.0,13.1,2.0,270.0,56.5,13.4,8.5,1200.0,2.75,18.12,3.1,15274.5
2017-04-22,2017,4,22,108,서울,최대,2995.0,14.8,2.1,270.0,48.4,13.4,12.4,1300.0,2.66,21.83,0.5,22282.8
2017-04-23,2017,4,23,108,서울,최대,2995.0,14.9,2.4,270.0,40.0,13.5,12.6,1200.0,2.98,23.55,0.1,22642.2
2017-04-24,2017,4,24,108,서울,최대,2995.0,15.1,2.7,50.0,39.4,13.5,12.1,1300.0,2.78,21.56,4.8,21743.7
2017-04-25,2017,4,25,108,서울,최대,2995.0,16.0,2.7,230.0,56.8,13.6,4.7,1100.0,2.64,13.075,7.9,8445.9
2017-04-26,2017,4,26,108,서울,최대,2995.0,15.1,3.3,270.0,36.0,13.6,12.6,1200.0,3.26,25.55,2.0,22642.2
2017-04-27,2017,4,27,108,서울,최대,2995.0,13.6,3.3,270.0,41.8,13.6,12.8,1100.0,3.09,24.94,0.4,23001.6
2017-04-28,2017,4,28,108,서울,최대,2995.0,14.4,3.0,200.0,57.3,13.6,12.2,1200.0,3.09,22.59,3.3,21923.4
2017-04-29,2017,4,29,108,서울,최대,2995.0,17.1,2.7,230.0,44.3,13.7,12.5,1200.0,3.1,24.45,0.0,22462.5
2017-04-30,2017,4,30,108,서울,최대,2995.0,19.3,2.6,200.0,57.9,13.7,11.4,1200.0,2.91,21.96,0.0,20485.8
2017-05-01,2017,5,1,108,서울,최대,2995.0,20.1,1.9,270.0,50.8,13.8,11.9,1200.0,3.13,24.3,0.0,21384.3
2017-05-02,2017,5,2,108,서울,최대,2995.0,20.7,2.1,270.0,42.0,13.8,8.7,1100.0,2.75,20.21,3.1,15633.899999999998
2017-05-03,2017,5,3,108,서울,최대,2995.0,21.5,2.0,270.0,34.1,13.8,12.6,1200.0,3.1,24.05,0.0,22642.2
2017-05-04,2017,5,4,108,서울,최대,2995.0,21.0,2.0,270.0,43.6,13.9,8.0,1200.0,2.43,17.89,7.4,14376.0
2017-05-05,2017,5,5,108,서울,최대,2995.0,20.9,3.2,270.0,53.4,13.9,11.6,1100.0,2.92,23.38,5.1,20845.2
2017-05-06,2017,5,6,108,서울,최대,2995.0,14.9,3.8,230.0,32.0,13.9,12.4,1200.0,3.12,25.23,0.9,22282.8
2017-05-07,2017,5,7,108,서울,최대,2995.0,16.6,3.2,250.0,42.6,13.9,12.6,1200.0,3.19,25.9,0.5,22642.2
2017-05-08,2017,5,8,108,서울,최대,2995.0,17.9,2.1,200.0,43.6,14.0,6.1,1100.0,2.53,16.92,7.3,10961.7
2017-05-09,2017,5,9,108,서울,최대,2995.0,17.1,1.6,50.0,62.6,14.0,1.3,1300.0,2.17,8.34,9.4,2336.1
2017-05-10,2017,5,10,108,서울,최대,2995.0,16.4,2.5,290.0,73.0,14.0,7.0,900.0,2.11,15.29,6.9,12579.0
2017-05-11,2017,5,11,108,서울,최대,2995.0,19.3,1.8,250.0,65.3,14.1,5.3,1200.0,2.86,16.69,7.6,9524.1
2017-05-12,2017,5,12,108,서울,최대,2995.0,19.1,2.1,200.0,71.6,14.1,0.0,1500.0,0.79,5.57,8.0,0.0
2017-05-13,2017,5,13,108,서울,최대,2995.0,16.4,3.1,230.0,77.8,14.1,2.2,1100.0,1.77,8.35,6.8,3953.400000000001
2017-05-14,2017,5,14,108,서울,최대,2995.0,15.7,3.7,270.0,58.3,14.2,13.1,1200.0,3.37,27.71,0.6,23540.7
2017-05-15,2017,5,15,108,서울,최대,2995.0,16.0,2.8,270.0,61.4,14.2,8.1,1300.0,2.65,17.5,5.5,14555.7
2017-05-16,2017,5,16,108,서울,최대,2995.0,17.1,2.0,250.0,60.5,14.2,9.6,1100.0,2.08,16.79,6.4,17251.2
2017-05-17,2017,5,17,108,서울,최대,2995.0,18.6,2.1,270.0,51.5,14.3,13.2,1200.0,3.27,26.53,0.6,23720.4
